Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,503.139404,503.139404,503.139404,503.139404,188.305161,0
2000-01-04,471.632294,471.632294,471.632294,471.632294,176.513290,21285517
2000-01-05,470.982605,470.982605,470.982605,470.982605,176.270126,26030803
2000-01-06,455.391510,455.391510,455.391510,455.391510,170.435013,43870695
2000-01-07,439.475494,439.475494,439.475494,439.475494,164.478271,38938371
2000-01-10,451.818512,451.818512,451.818512,451.818512,169.097839,35443185
2000-01-11,431.355103,431.355103,431.355103,431.355103,161.439163,31577451
2000-01-12,434.603302,434.603302,434.603302,434.603302,162.654831,61905750
2000-01-13,434.928101,434.928101,434.928101,434.928101,162.776367,40997890
2000-01-14,436.877014,436.877014,436.877014,436.877014,163.505753,26815223
2000-01-17,434.928101,434.928101,434.928101,434.928101,162.776367,29791539
2000-01-18,417.063202,417.063202,417.063202,417.063202,156.090240,29514619
2000-01-19,400.822388,400.822388,400.822388,400.822388,150.011948,35463741
2000-01-20,397.899109,397.899109,397.899109,397.899109,148.917862,50763134
2000-01-21,415.764008,415.764008,415.764008,415.764008,155.604019,39705976
2000-01-24,420.960999,420.960999,420.960999,420.960999,157.549042,21537691
2000-01-25,403.420990,403.420990,403.420990,403.420990,150.984497,21078021
2000-01-26,420.311401,420.311401,420.311401,420.311401,157.305862,20469942
2000-01-27,437.851410,437.851410,437.851410,437.851410,163.870468,27091952
2000-01-28,417.712891,417.712891,417.712891,417.712891,156.333389,21656809
2000-01-31,404.395386,404.395386,404.395386,404.395386,151.349182,16467473
2000-02-01,399.847992,399.847992,399.847992,399.847992,149.647232,30376499
2000-02-02,405.694702,405.694702,405.694702,405.694702,151.835495,21573120
2000-02-03,406.993896,406.993896,406.993896,406.993896,152.321716,19920865
2000-02-04,396.274994,396.274994,396.274994,396.274994,148.310013,34881584
2000-02-07,401.147308,401.147308,401.147308,401.147308,150.133514,22847098
2000-02-08,412.515808,412.515808,412.515808,412.515808,154.388306,31155645
2000-02-09,418.687286,418.687286,418.687286,418.687286,156.698044,33956086
2000-02-10,445.971802,445.971802,445.971802,445.971802,166.909607,35389502
2000-02-11,406.669098,406.669098,406.669098,406.669098,152.200119,65408408
2000-02-14,390.103485,390.103485,390.103485,390.103485,146.000275,135225360
2000-02-15,366.067200,366.067200,366.067200,366.067200,137.004456,78508775
2000-02-16,387.505005,387.505005,387.505005,387.505005,145.027786,67145941
2000-02-17,386.205688,386.205688,386.205688,386.205688,144.541473,97132330
2000-02-18,386.530609,386.530609,386.530609,386.530609,144.663086,27863030
2000-02-21,377.110901,377.110901,377.110901,377.110901,145.666824,25791590
2000-02-22,357.622009,357.622009,357.622009,357.622009,138.138840,39318781
2000-02-23,355.997894,355.997894,355.997894,355.997894,137.511459,36448706
2000-02-24,350.151215,350.151215,350.151215,350.151215,135.253098,41302851
2000-02-25,337.158600,337.158600,337.158600,337.158600,130.234421,52446009
2000-02-28,350.476013,350.476013,350.476013,350.476013,135.378525,27704715
2000-02-29,378.734985,378.734985,378.734985,378.734985,146.294174,37272845
2000-03-01,368.665710,368.665710,368.665710,368.665710,142.404648,44395861
2000-03-02,372.888306,372.888306,372.888306,372.888306,144.035767,22614583
2000-03-03,367.366394,367.366394,367.366394,367.366394,141.902786,25418860
2000-03-06,356.972290,356.972290,356.972290,356.972290,137.887848,115729698
2000-03-07,348.851898,348.851898,348.851898,348.851898,134.751221,31719673
2000-03-08,346.253387,346.253387,346.253387,346.253387,133.747467,128564093
2000-03-09,335.859314,335.859314,335.859314,335.859314,129.732559,31817541
2000-03-10,358.271606,358.271606,358.271606,358.271606,138.389786,39080199
2000-03-13,355.023407,355.023407,355.023407,355.023407,137.135086,34157059
2000-03-14,365.417511,365.417511,365.417511,365.417511,141.150040,26588368
2000-03-15,358.271606,358.271606,358.271606,358.271606,138.389786,32908652
2000-03-16,403.420990,403.420990,403.420990,403.420990,155.829620,63585596
2000-03-17,390.428314,390.428314,390.428314,390.428314,150.810959,45506281
2000-03-20,390.428314,390.428314,390.428314,390.428314,150.810959,28415399
2000-03-21,389.778687,389.778687,389.778687,389.778687,150.560013,28742966
2000-03-22,389.778687,389.778687,389.778687,389.778687,150.560013,41496961
2000-03-23,410.566895,410.566895,410.566895,410.566895,158.589874,30368747
2000-03-24,432.004700,432.004700,432.004700,432.004700,166.870636,44039098
2000-03-27,429.730988,429.730988,429.730988,429.730988,165.992432,48578519
2000-03-28,430.705505,430.705505,430.705505,430.705505,166.368774,28646557
2000-03-29,419.336914,419.336914,419.336914,419.336914,161.977478,24516815
2000-03-30,410.891693,410.891693,410.891693,410.891693,158.715363,48701128
2000-03-31,430.055908,430.055908,430.055908,430.055908,166.117966,26360134
2000-04-03,444.997406,444.997406,444.997406,444.997406,171.889328,29989719
2000-04-04,481.701508,481.701508,481.701508,481.701508,186.067093,71366489
2000-04-05,463.187103,463.187103,463.187103,463.187103,178.915497,463430
2000-04-06,432.979187,432.979187,432.979187,432.979187,167.247086,29464418
2000-04-07,423.559509,423.559509,423.559509,423.559509,163.608536,24597517
2000-04-10,436.227386,436.227386,436.227386,436.227386,168.501785,25007348
2000-04-11,431.679901,431.679901,431.679901,431.679901,166.745193,23102212
2000-04-12,437.526611,437.526611,437.526611,437.526611,169.003647,25552104
2000-04-13,433.628815,433.628815,433.628815,433.628815,167.498001,12593060
2000-04-14,427.457306,427.457306,427.457306,427.457306,165.114120,18242305
2000-04-17,408.293213,408.293213,408.293213,408.293213,157.711639,21483489
2000-04-18,406.344299,406.344299,406.344299,406.344299,156.958801,17076525
2000-04-19,416.088806,416.088806,416.088806,416.088806,160.722855,17167851
2000-04-20,429.730988,429.730988,429.730988,429.730988,165.992432,9889743
2000-04-21,429.730988,429.730988,429.730988,429.730988,165.992432,0
2000-04-24,429.730988,429.730988,429.730988,429.730988,165.992432,0
2000-04-25,451.493713,451.493713,451.493713,451.493713,174.398636,20727434
2000-04-26,435.902496,435.902496,435.902496,435.902496,168.376282,12449163
2000-04-27,415.114288,415.114288,415.114288,415.114288,160.346390,13318204
2000-04-28,407.968414,407.968414,407.968414,407.968414,157.586197,29084467
2000-05-01,407.968414,407.968414,407.968414,407.968414,157.586197,0
2000-05-02,417.063202,417.063202,417.063202,417.063202,161.099213,22662293
2000-05-03,418.687286,418.687286,418.687286,418.687286,161.726517,30329900
2000-05-04,425.833313,425.833313,425.833313,425.833313,164.486801,14522625
2000-05-05,414.789490,414.789490,414.789490,414.789490,160.220978,13507810
2000-05-08,397.249512,397.249512,397.249512,397.249512,153.445755,15201178
2000-05-09,388.479492,388.479492,388.479492,388.479492,150.058197,23473906
2000-05-10,395.625397,395.625397,395.625397,395.625397,152.818451,34565940
2000-05-11,409.917297,409.917297,409.917297,409.917297,158.338943,26134258
2000-05-12,406.019501,406.019501,406.019501,406.019501,156.833359,16096189
2000-05-15,415.764008,415.764008,415.764008,415.764008,160.597382,13915670
2000-05-16,432.654388,437.688995,411.541412,432.654388,167.121597,20105853
2000-05-17,433.953613,433.953613,415.114288,430.705505,166.368774,13619211
2000-05-18,424.533997,432.979187,422.909912,426.807709,164.863190,13377674
2000-05-19,418.687286,418.687286,418.687286,418.687286,161.726517,14858042
2000-05-22,426.158112,426.158112,426.158112,426.158112,164.612335,16651211
2000-05-23,431.355103,431.355103,431.355103,431.355103,166.619781,24910199
2000-05-24,432.004700,465.460785,423.559509,465.460785,179.793747,53275372
2000-05-25,469.683411,472.281891,450.844086,469.683411,181.424866,34905690
2000-05-26,437.851410,472.281891,437.851410,472.281891,182.428574,26485987
2000-05-29,472.281891,472.281891,472.281891,472.281891,182.428574,0
2000-05-30,481.701508,481.701508,481.701508,481.701508,186.067093,30247659
2000-05-31,470.333008,470.333008,470.333008,470.333008,181.675797,27178312
2000-06-01,470.333008,470.333008,470.333008,470.333008,181.675797,13906059
2000-06-02,470.982605,470.982605,470.982605,470.982605,181.926682,27009370
2000-06-05,463.187103,463.187103,463.187103,463.187103,178.915497,13227280
2000-06-06,482.351196,482.351196,482.351196,482.351196,186.318008,32259782
2000-06-07,472.931488,472.931488,472.931488,472.931488,182.679504,22497803
2000-06-08,463.187103,463.187103,463.187103,463.187103,178.915497,30739015
2000-06-09,450.194397,450.194397,443.698090,450.194397,173.896820,33988649
2000-06-12,448.245514,451.818512,436.877014,436.877014,168.752686,36122540
2000-06-13,434.278503,434.278503,434.278503,434.278503,167.749008,37760232
2000-06-14,439.150696,443.698090,432.004700,443.698090,171.387482,26141352
2000-06-15,430.705505,430.705505,425.670807,430.705505,166.368774,29031068
2000-06-16,429.081390,421.935486,416.413605,421.935486,162.981216,45851465
2000-06-19,417.063202,417.063202,417.063202,417.063202,161.099213,24667703
2000-06-20,413.165405,413.165405,413.165405,413.165405,159.593597,25573947
2000-06-21,401.472107,401.472107,401.472107,401.472107,155.076813,23083883
2000-06-22,394.001312,394.001312,394.001312,394.001312,152.191116,16353904
2000-06-23,391.402802,401.147308,386.530609,391.402802,151.187378,23662264
2000-06-26,408.618011,411.866211,389.778687,408.618011,157.837036,11804390
2000-06-27,404.720215,410.404510,396.924713,404.720215,156.331497,25613284
2000-06-28,406.019501,410.242096,399.847992,406.019501,156.833359,25104708
2000-06-29,415.764008,419.012085,404.070587,415.764008,160.597382,13056120
2000-06-30,405.369904,429.406189,405.369904,405.369904,156.582428,23192068
2000-07-03,401.796906,401.796906,400.822388,401.796906,155.202286,20178686
2000-07-04,392.702087,392.702087,387.829803,392.702087,151.689224,30560766
2000-07-05,383.282410,395.463013,367.528809,383.282410,148.050720,37904215
2000-07-06,382.632813,387.342590,374.187592,382.632813,147.799774,28771237
2000-07-07,395.950195,395.950195,395.950195,395.950195,152.943878,27764617
2000-07-10,379.384613,403.420990,377.110901,379.384613,146.545105,17900980
2000-07-11,374.512390,385.068909,367.041595,374.512390,144.663101,40022845
2000-07-12,374.512390,378.734985,378.734985,378.734985,146.294174,48345791
2000-07-13,395.950195,395.950195,395.950195,395.950195,152.943878,45876119
2000-07-14,405.045105,405.045105,405.045105,405.045105,156.456955,41227291
2000-07-17,403.096191,408.293213,396.924713,396.924713,153.320343,17554725
2000-07-18,393.676514,393.676514,393.676514,393.676514,152.065613,15515361
2000-07-19,390.428314,400.822388,387.180206,390.428314,150.810959,12048813
2000-07-20,407.318787,407.318787,389.778687,407.318787,157.335220,20347368
2000-07-21,402.121704,411.216492,397.574310,402.121704,155.327820,13938063
2000-07-24,394.001312,394.001312,394.001312,394.001312,152.191116,10869353
2000-07-25,402.121704,402.121704,402.121704,402.121704,155.327820,22442635
2000-07-26,391.727600,391.727600,391.727600,391.727600,151.312805,18520776
2000-07-27,380.683899,380.683899,380.683899,380.683899,147.046982,29162225
2000-07-28,389.778687,389.778687,370.289795,389.778687,150.560013,31552563
2000-07-31,387.180206,387.180206,387.180206,387.180206,149.556320,18233350
2000-08-01,402.121704,402.446503,382.632813,402.121704,155.327820,23067496
